elapsedSeconds,cpuCorePercent,workingSetMiB,aliveProcesses
1.001,7.808,479.004,1
2.001,31.231,470.742,1
3.001,170.224,495.316,1
4.001,28.11,492.129,1
5.001,53.09,492.711,1
6.001,28.09,493.074,1
7.001,54.647,399.012,1
8.001,24.987,462.266,1
9.001,10.931,462.715,1
10.0,15.619,475.07,1
11.001,18.739,476.164,1
12.001,14.055,476.461,1
13.001,20.301,477.109,1
14.001,24.979,477.387,1
15.001,12.49,477.453,1
16.001,18.739,478.492,1
17.0,26.55,479.145,1
18.0,15.621,479.184,1
19.0,10.934,479.246,1
20.0,15.622,479.25,1
21.001,18.736,479.266,1
22.002,18.72,479.316,1
23.0,28.112,479.316,1
24.0,10.933,479.32,1
25.0,7.811,479.344,1
26.001,23.419,479.344,1
27.001,17.166,479.375,1
28.001,17.178,479.629,1
29.001,12.49,479.633,1
30.0,7.811,479.637,1
31.0,12.496,479.609,1
32.0,12.495,479.609,1
33.001,17.178,479.609,1
34.001,23.422,479.613,1
35.001,10.925,479.613,1
36.0,15.619,479.555,1
37.0,28.116,479.555,1
38.001,18.741,479.555,1
39.0,7.81,479.555,1
40.0,20.304,479.637,1
41.0,18.743,479.59,1
42.0,12.494,479.566,1
43.001,21.861,479.594,1
44.0,18.743,479.605,1
45.001,24.964,479.605,1
46.0,9.371,479.605,1
47.0,1.562,479.605,1
48.001,0.0,479.605,1
