elapsedSeconds,cpuCorePercent,workingSetMiB,aliveProcesses
1.0,9.372,453.02,1
2.01,91.305,431.254,1
3.0,76.541,486.676,1
4.001,4.684,490.551,1
5.0,23.427,491.527,1
6.001,73.345,493.25,1
7.001,93.7,393.941,1
8.001,51.532,455.98,1
9.0,14.056,457.867,1
10.0,12.496,477.41,1
11.001,14.054,478.934,1
12.0,10.932,479.309,1
13.0,17.182,479.496,1
14.001,7.808,479.562,1
15.0,15.619,480.488,1
16.0,7.809,480.777,1
17.002,10.919,481.219,1
18.001,21.859,481.23,1
19.0,15.618,481.371,1
20.0,6.248,481.582,1
21.001,6.246,481.609,1
22.001,12.491,481.613,1
23.0,4.686,481.613,1
24.001,7.807,481.613,1
25.001,20.298,481.625,1
26.001,17.177,481.629,1
27.0,12.497,481.637,1
28.0,14.059,481.734,1
29.001,15.614,481.762,1
30.0,6.249,481.766,1
31.001,9.368,481.809,1
32.0,7.81,481.855,1
33.001,9.37,481.875,1
34.001,14.053,481.918,1
35.001,15.612,481.926,1
36.001,14.054,481.988,1
37.001,9.369,481.961,1
38.001,3.123,482.016,1
39.0,14.06,482.016,1
40.0,14.056,482.016,1
41.0,15.619,482.016,1
42.001,26.547,482.016,1
43.001,9.369,482.02,1
44.0,14.058,482.02,1
45.001,18.74,482.039,1
46.001,7.808,482.039,1
47.001,0.0,482.039,1
48.0,0.0,482.043,1
