elapsedSeconds,cpuCorePercent,workingSetMiB,aliveProcesses
1.001,45.289,1204.863,4
2.002,120.071,1232.961,4
3.002,87.368,1255.406,4
4.0,242.109,1303.227,4
5.001,296.632,1349.227,4
6.001,571.415,1332.762,4
7.002,54.602,1319.055,4
8.001,18.737,1328.504,4
9.0,24.988,1333.16,4
10.001,4.684,1155.449,4
11.001,88.993,1248.883,4
12.001,81.209,1290.637,4
13.001,110.869,1302.836,4
14.0,57.795,1298.219,4
15.001,406.041,1365.766,4
16.001,321.712,1384.824,4
17.001,29.667,1386.43,4
18.001,65.584,1390.168,4
19.001,90.565,1406.227,4
20.001,10.932,1249.516,4
21.001,9.37,1282.461,4
22.001,14.051,1287.691,4
23.002,6.24,1271.938,4
24.001,3.123,1289.387,4
25.0,6.248,1289.723,4
26.001,10.932,1291.52,4
27.001,9.367,1291.168,4
28.0,18.742,1294.988,4
29.001,18.741,1286.848,4
30.002,14.037,1286.117,4
31.001,12.484,1304.641,4
32.001,17.177,1301.512,4
33.001,14.043,1296.664,4
34.002,14.037,1294.238,4
35.001,15.606,1307.945,4
36.0,18.742,1301.434,4
37.001,9.367,1297.887,4
38.001,6.244,1292.668,4
39.001,15.613,1304.668,4
40.001,7.808,1295.203,4
41.001,9.367,1309.25,4
42.0,12.495,1309.988,4
43.001,10.931,1292.574,4
44.001,10.928,1308.512,4
45.001,3.123,1299.672,4
46.001,4.685,1306.398,4
47.001,1.561,1306.617,4
48.0,0.0,1307.027,4
