elapsedSeconds,cpuCorePercent,workingSetMiB,aliveProcesses
1.001,318.482,1283.727,4
2.003,280.321,1263.48,4
3.001,198.148,1301.227,4
4.001,204.477,1331.816,4
5.0,331.134,1251.051,4
6.001,103.019,1222.398,4
7.0,360.833,1307.668,4
8.001,70.247,1275.293,4
9.001,23.417,1286.508,4
10.001,21.856,1251.277,4
11.003,99.736,1257.695,4
12.001,167.088,1296.609,4
13.002,113.887,1324.242,4
14.001,88.987,1337.648,4
15.001,516.868,1322.125,4
16.002,318.213,1313.676,4
17.003,116.884,1329.371,4
18.001,42.139,1334.176,4
19.001,67.121,1335.703,4
20.001,20.296,1336.629,4
21.001,23.413,1184.848,4
22.001,14.053,1195.426,4
23.0,29.674,1196.242,4
24.001,17.177,1188.773,4
25.001,29.667,1185.992,4
26.001,24.979,1205.793,4
27.0,21.864,1202.859,4
28.0,15.618,1200.223,4
29.0,26.55,1200.699,4
30.002,38.984,1219.438,4
31.001,21.849,1216.262,4
32.002,20.268,1211.555,4
33.001,24.967,1228.539,4
34.001,23.412,1229.594,4
35.001,17.169,1229.086,4
36.001,21.851,1224.93,4
37.0,15.619,1237.234,4
38.001,10.928,1236.934,4
39.001,31.234,1242.781,4
40.001,39.039,1242.777,4
41.001,29.666,1233.039,4
42.001,18.737,1243.051,4
43.001,26.528,1243.16,4
44.001,29.667,1244.695,4
45.001,29.661,1243.336,4
46.001,6.245,1242.621,4
47.001,0.0,1243.125,4
