elapsedSeconds,cpuCorePercent,workingSetMiB,aliveProcesses
1.0,70.282,417.43,1
2.001,70.25,448.781,1
3.001,110.865,480.98,1
4.0,56.223,474.098,1
5.0,39.048,478.676,1
6.0,28.117,482.074,1
7.001,123.37,479.473,1
8.0,82.772,489.527,1
9.001,26.543,489.953,1
10.001,32.789,493.562,1
11.0,26.552,490.117,1
12.001,21.857,401.488,1
13.001,23.424,410.656,1
14.0,10.934,411.492,1
15.0,12.495,411.805,1
16.001,17.178,413.48,1
17.001,21.861,431.258,1
18.001,17.178,431.543,1
19.0,20.304,433.223,1
20.0,15.619,434.613,1
21.0,10.933,434.703,1
22.001,12.493,434.703,1
23.001,17.176,434.703,1
24.0,15.619,434.707,1
25.001,9.37,434.711,1
26.001,9.367,434.719,1
27.001,9.369,434.723,1
28.0,12.496,434.754,1
29.001,15.617,436.02,1
30.001,10.931,436.383,1
31.001,12.493,436.637,1
32.0,21.866,436.637,1
33.001,10.929,436.648,1
34.001,20.293,436.656,1
35.001,10.931,437.438,1
36.0,14.06,437.379,1
37.001,15.615,437.594,1
38.001,10.931,437.594,1
39.001,18.739,437.598,1
40.001,17.177,437.598,1
41.0,31.241,438.016,1
42.0,10.933,438.023,1
43.0,15.618,438.027,1
44.001,18.735,438.027,1
45.001,9.362,438.039,1
46.001,4.684,438.043,1
47.001,0.0,438.043,1
48.001,0.0,438.043,1
49.001,0.0,438.043,1
50.001,0.0,437.996,1
51.0,0.0,438.0,1
52.001,0.0,438.0,1
53.0,1.562,438.0,1
54.001,0.0,438.0,1
