variant,run,concurrency,durationSeconds,requests,throughputRps,averageResponseMs,p95ResponseMs,errorRatePercent,checkRatePercent,averageCpuCorePercent,peakCpuCorePercent,averageWorkingSetMiB,peakWorkingSetMiB
microservices,1,50,45,49447,1097.733695658163,40.76396743169513,115.68225419999997,0,100,84.66782978723404,652.248,1254.636170212766,1331.859
microservices,2,50,45,50132,1112.8635169088657,40.27244223651541,114.24173585,0,100,86.63770212765958,516.868,1253.9432127659575,1337.648
microservices,3,50,45,50211,1114.3645938756893,40.22656843599985,116.23614,0,100,63.006750000000004,571.415,1300.9762291666666,1406.227
monolith,1,50,45,51001,1020.0386922702381,38.933148679751376,107.581741,0,100,18.316211538461538,151.454,433.6684615384615,489.0
monolith,2,50,45,49158,1091.3791413162676,40.91379355250414,113.146894,0,100,21.666395833333336,170.224,477.68322916666665,495.316
monolith,3,50,45,50836,1128.646282798491,37.01456466195212,104.72445775,0,100,18.721791666666665,93.7,477.6595208333333,493.25
